ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60603,42,10/11/2020,10/17/2020,1,15,85,1277.7,20,372,1704,31686.5,0.0,0.0,0,0,0.0,0.0,1174,60603-42,POINT (-87.625473 41.880112)
60604,42,10/11/2020,10/17/2020,1,33,128,4219.9,29,399,3708,51023,0.0,0.1,0,0,0.0,0.0,782,60604-42,POINT (-87.629029 41.878153)
60610,23,05/31/2020,06/06/2020,11,259,28,663.8,280,2222,718,5694.7,0.0,0.1,1,7,2.6,17.9,39019,60610-23,POINT (-87.63581 41.90455)
60610,25,06/14/2020,06/20/2020,9,274,23,702.2,342,2886,876,7396.4,0.0,0.1,1,9,2.6,23.1,39019,60610-25,POINT (-87.63581 41.90455)
60611,12,03/15/2020,03/21/2020,15,16,46,49.3,81,94,250,289.9,0.2,0.2,0,0,0.0,0.0,32426,60611-12,POINT (-87.620291 41.894734)
60601,30,07/19/2020,07/25/2020,8,107,54,729.1,201,1699,1370,11577.5,0.0,0.1,0,5,0.0,34.1,14675,60601-30,POINT (-87.622844 41.886262)
60614,14,03/29/2020,04/04/2020,43,120,60,168.3,140,434,196,608.6,0.3,0.3,0,1,0.0,1.4,71308,60614-14,POINT (-87.652064 41.922605)
60614,15,04/05/2020,04/11/2020,52,172,73,241.2,175,609,245,854,0.3,0.3,8,9,11.2,12.6,71308,60614-15,POINT (-87.652064 41.922605)
60614,16,04/12/2020,04/18/2020,32,204,45,286.1,206,815,289,1142.9,0.2,0.2,15,24,21.0,33.7,71308,60614-16,POINT (-87.652064 41.922605)
60614,17,04/19/2020,04/25/2020,68,272,95,381.4,289,1104,405,1548.2,0.2,0.2,8,32,11.2,44.9,71308,60614-17,POINT (-87.652064 41.922605)
60615,11,03/08/2020,03/14/2020,,,,,6,9,14,21.7,,,0,0,0.0,0.0,41563,60615-11,POINT (-87.602725 41.801993)
60603,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,1174,60603-10,POINT (-87.625473 41.880112)
60603,11,03/08/2020,03/14/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,1174,60603-11,POINT (-87.625473 41.880112)
60603,12,03/15/2020,03/21/2020,,,,,1,1,85,85.2,,,0,0,0.0,0.0,1174,60603-12,POINT (-87.625473 41.880112)
60603,13,03/22/2020,03/28/2020,,,,,3,4,256,340.7,,,0,0,0.0,0.0,1174,60603-13,POINT (-87.625473 41.880112)
60603,14,03/29/2020,04/04/2020,,,,,4,8,341,681.4,,,0,0,0.0,0.0,1174,60603-14,POINT (-87.625473 41.880112)
60603,15,04/05/2020,04/11/2020,,,,,5,13,426,1107.3,,,0,0,0.0,0.0,1174,60603-15,POINT (-87.625473 41.880112)
60604,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,782,60604-10,POINT (-87.629029 41.878153)
60604,11,03/08/2020,03/14/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,782,60604-11,POINT (-87.629029 41.878153)
