MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,date,TOTAL_COVID_TESTS
10001,Chelsea - Clinton,Manhattan,349,1481.13,23563.03,18,76.39,20.41,2020-05-26,
10002,Union Square - Lower East Side,Manhattan,1012,1318.47,76755.41,143,186.31,28.49,2020-05-26,
10003,Union Square - Lower East Side,Manhattan,439,815.96,53801.62,30,55.76,17.62,2020-05-26,
10004,Lower Manhattan,Manhattan,30,821.78,3650.61,1,27.39,17.96,2020-05-26,
10005,Lower Manhattan,Manhattan,59,702.71,8396.11,2,23.82,14.43,2020-05-26,
10006,Lower Manhattan,Manhattan,24,694.09,3457.77,0,0.0,13.95,2020-05-26,
10007,Lower Manhattan,Manhattan,49,593.96,8249.73,3,36.36,13.24,2020-05-26,
10009,Union Square - Lower East Side,Manhattan,670,1140.46,58747.99,65,110.64,21.15,2020-05-26,
10010,Gramercy Park - Murray Hill,Manhattan,255,787.72,32371.86,20,61.78,13.59,2020-05-26,
10011,Chelsea - Clinton,Manhattan,508,1026.25,49500.52,34,68.69,20.03,2020-05-26,
10012,Greenwich Village - Soho,Manhattan,156,650.51,23981.2,7,29.19,16.6,2020-05-26,
10013,Greenwich Village - Soho,Manhattan,254,874.92,29031.09,19,65.45,18.98,2020-05-26,
10014,Greenwich Village - Soho,Manhattan,287,924.52,31043.16,24,77.31,19.48,2020-05-26,
10016,Gramercy Park - Murray Hill,Manhattan,656,1248.94,52524.35,48,91.39,17.74,2020-05-26,
10017,Gramercy Park - Murray Hill,Manhattan,135,837.09,16127.22,5,31.0,14.5,2020-05-26,
10018,Chelsea - Clinton,Manhattan,200,2098.32,9531.44,3,31.47,21.67,2020-05-26,
10019,Chelsea - Clinton,Manhattan,579,1425.0,40631.45,43,105.83,21.15,2020-05-26,
10021,Upper East Side,Manhattan,535,1211.08,44175.61,59,133.56,17.88,2020-05-26,
10022,Gramercy Park - Murray Hill,Manhattan,328,1081.27,30334.8,26,85.71,16.58,2020-05-26,
10023,Upper West Side,Manhattan,546,905.85,60274.81,52,86.27,17.22,2020-05-26,
10024,Upper West Side,Manhattan,642,1119.68,57337.68,66,115.11,19.79,2020-05-26,
10025,Upper West Side,Manhattan,1247,1350.54,92333.47,151,163.54,22.41,2020-05-26,
10026,Central Harlem - Morningside Height,Manhattan,622,1594.13,39018.03,37,94.83,25.99,2020-05-26,
10027,Central Harlem - Morningside Height,Manhattan,987,1551.13,63631.04,99,155.58,27.48,2020-05-26,
10028,Upper East Side,Manhattan,455,925.64,49155.08,29,59.0,17.4,2020-05-26,
10029,East Harlem,Manhattan,1739,2205.69,78841.52,191,242.26,31.84,2020-05-26,
10030,Central Harlem - Morningside Height,Manhattan,480,1637.0,29321.91,47,160.29,28.05,2020-05-26,
10031,Washington Heights - Inwood,Manhattan,1252,2067.48,60556.93,116,191.56,31.48,2020-05-26,
10032,Washington Heights - Inwood,Manhattan,1450,2358.01,61492.57,152,247.18,31.11,2020-05-26,
10033,Washington Heights - Inwood,Manhattan,1288,2175.29,59210.43,111,187.47,30.86,2020-05-26,
10034,Washington Heights - Inwood,Manhattan,683,1585.66,43073.65,67,155.55,25.97,2020-05-26,
10035,East Harlem,Manhattan,922,2678.16,34426.65,108,313.71,30.8,2020-05-26,
10036,Chelsea - Clinton,Manhattan,404,1541.32,26211.25,34,129.72,22.14,2020-05-26,
10037,Central Harlem - Morningside Height,Manhattan,525,2542.42,20649.62,64,309.93,24.74,2020-05-26,
10038,Lower Manhattan,Manhattan,242,1097.61,22047.96,26,117.92,22.71,2020-05-26,
10039,Central Harlem - Morningside Height,Manhattan,494,1867.14,26457.52,53,200.32,28.24,2020-05-26,
10040,Washington Heights - Inwood,Manhattan,1075,2399.11,44808.28,105,234.33,31.64,2020-05-26,
10044,Upper East Side,Manhattan,229,1957.22,11700.29,33,282.04,28.91,2020-05-26,
10065,Upper East Side,Manhattan,323,1111.44,29061.49,25,86.02,15.87,2020-05-26,
10069,Upper West Side,Manhattan,54,851.99,6338.13,2,31.56,18.06,2020-05-26,
10075,Upper East Side,Manhattan,402,1700.93,23634.14,44,186.17,21.42,2020-05-26,
10128,Upper East Side,Manhattan,615,1002.41,61351.93,34,55.42,17.06,2020-05-26,
10280,Lower Manhattan,Manhattan,47,488.63,9618.7,0,0.0,14.29,2020-05-26,
10282,Lower Manhattan,Manhattan,69,1251.03,5515.44,14,253.83,25.46,2020-05-26,
10301,Stapleton - St. George,Staten Island,1142,2882.85,39613.55,98,247.39,31.65,2020-05-26,
10302,Port Richmond,Staten Island,617,3286.46,18773.99,30,159.8,37.04,2020-05-26,
10303,Port Richmond,Staten Island,834,3179.36,26231.66,41,156.3,34.34,2020-05-26,
10304,Stapleton - St. George,Staten Island,1345,3168.53,42448.71,157,369.86,33.12,2020-05-26,
10305,Stapleton - St. George,Staten Island,1204,2828.88,42560.99,73,171.52,30.88,2020-05-26,
10306,South Beach - Tottenville,Staten Island,1417,2639.44,53685.66,72,134.11,28.22,2020-05-26,
10307,South Beach - Tottenville,Staten Island,369,2425.31,15214.56,14,92.02,29.47,2020-05-26,
10308,South Beach - Tottenville,Staten Island,617,2081.97,29635.33,25,84.36,27.03,2020-05-26,
10309,South Beach - Tottenville,Staten Island,822,2490.53,33004.98,30,90.9,28.3,2020-05-26,
10310,Port Richmond,Staten Island,706,2957.57,23870.96,31,129.86,29.85,2020-05-26,
10312,South Beach - Tottenville,Staten Island,1463,2426.03,60304.33,57,94.52,28.71,2020-05-26,
10314,Willowbrook,Staten Island,2568,2827.13,90834.29,173,190.46,31.32,2020-05-26,
10451,High Bridge - Morrisania,Bronx,1558,3264.96,47718.77,144,301.77,34.73,2020-05-26,
10452,High Bridge - Morrisania,Bronx,2282,2962.29,77035.04,153,198.61,34.64,2020-05-26,
10453,Crotona - Tremont,Bronx,2286,2815.82,81184.04,155,190.92,36.23,2020-05-26,
10454,Hunts Point - Mott Haven,Bronx,1101,2880.43,38223.41,100,261.62,31.95,2020-05-26,
10455,Hunts Point - Mott Haven,Bronx,1231,2918.83,42174.38,95,225.26,35.34,2020-05-26,
10456,High Bridge - Morrisania,Bronx,2392,2559.88,93441.91,260,278.25,33.02,2020-05-26,
10457,Crotona - Tremont,Bronx,1999,2676.57,74685.06,169,226.28,33.35,2020-05-26,
10458,Fordham - Bronx Park,Bronx,1962,2341.07,83807.74,110,131.25,34.16,2020-05-26,
10459,Hunts Point - Mott Haven,Bronx,1437,2971.8,48354.56,152,314.34,37.17,2020-05-26,
10460,Crotona - Tremont,Bronx,1584,2636.78,60073.25,112,186.44,35.73,2020-05-26,
10461,Pelham - Throgs Neck,Bronx,1836,3710.62,49479.56,132,266.78,32.81,2020-05-26,
10462,Pelham - Throgs Neck,Bronx,2200,2844.86,77332.41,159,205.61,32.77,2020-05-26,
10463,Kingsbridge - Riverdale,Bronx,1889,2649.84,71287.33,183,256.71,29.98,2020-05-26,
10464,Pelham - Throgs Neck,Bronx,117,2687.7,4353.16,6,137.83,24.89,2020-05-26,
10465,Pelham - Throgs Neck,Bronx,1454,3379.0,43030.43,70,162.68,29.78,2020-05-26,
10466,Northeast Bronx,Bronx,2307,3196.77,72166.65,157,217.55,36.54,2020-05-26,
10467,Fordham - Bronx Park,Bronx,3232,3206.86,100784.05,286,283.78,37.07,2020-05-26,
10468,Fordham - Bronx Park,Bronx,2642,3445.44,76681.12,185,241.26,35.98,2020-05-26,
10469,Northeast Bronx,Bronx,2879,4026.11,71508.25,318,444.7,36.99,2020-05-26,
10470,Northeast Bronx,Bronx,437,3098.47,14103.75,14,99.26,28.79,2020-05-26,
10471,Kingsbridge - Riverdale,Bronx,772,3633.41,21247.28,65,305.92,24.59,2020-05-26,
10472,Pelham - Throgs Neck,Bronx,1883,2772.63,67913.94,167,245.9,38.91,2020-05-26,
10473,Pelham - Throgs Neck,Bronx,1857,2998.78,61925.28,119,192.17,34.82,2020-05-26,
10474,Hunts Point - Mott Haven,Bronx,315,2532.55,12438.07,19,152.76,36.22,2020-05-26,
10475,Northeast Bronx,Bronx,1659,3792.59,43743.21,161,368.06,33.82,2020-05-26,
11004,Southeast Queens,Queens,568,3027.95,18758.55,55,293.2,25.89,2020-05-26,
11101,Long Island City - Astoria,Queens,607,1724.23,35204.11,36,102.26,24.28,2020-05-26,
11102,Long Island City - Astoria,Queens,586,1795.73,32632.92,72,220.64,28.28,2020-05-26,
11103,Long Island City - Astoria,Queens,537,1467.79,36585.65,47,128.47,26.82,2020-05-26,
11104,Long Island City - Astoria,Queens,480,1937.38,24775.7,34,137.23,29.25,2020-05-26,
11105,Long Island City - Astoria,Queens,476,1326.09,35894.88,40,111.44,23.35,2020-05-26,
11106,Long Island City - Astoria,Queens,621,1606.13,38664.4,42,108.63,27.73,2020-05-26,
11109,Long Island City - Astoria,Queens,46,907.18,5070.64,2,39.44,14.02,2020-05-26,
11201,Downtown - Heights - Slope,Brooklyn,661,1085.24,60908.15,79,129.7,18.34,2020-05-26,
11203,East Flatbush - Flatbush,Brooklyn,1975,2691.01,73392.42,232,316.11,35.26,2020-05-26,
11204,Borough Park,Brooklyn,1976,2491.1,79322.45,134,168.93,27.44,2020-05-26,
11205,Downtown - Heights - Slope,Brooklyn,693,1574.53,44013.21,44,99.97,25.32,2020-05-26,
11206,Williamsburg - Bushwick,Brooklyn,1544,1805.92,85496.61,145,169.6,28.9,2020-05-26,
11207,East New York,Brooklyn,1996,2238.75,89156.75,196,219.84,32.69,2020-05-26,
11208,East New York,Brooklyn,2288,2393.11,95607.69,214,223.83,35.86,2020-05-26,
11209,Bensonhurst - Bay Ridge,Brooklyn,1089,1623.41,67081.12,104,155.04,25.96,2020-05-26,
11210,East Flatbush - Flatbush,Brooklyn,1621,2416.18,67089.29,126,187.81,33.69,2020-05-26,
11211,Greenpoint,Brooklyn,2012,2020.19,99594.67,120,120.49,26.08,2020-05-26,
11212,Bedford Stuyvesant - Crown Heights,Brooklyn,1792,2251.54,79589.99,213,267.62,31.78,2020-05-26,
11213,Bedford Stuyvesant - Crown Heights,Brooklyn,1335,2072.15,64425.94,130,201.78,32.65,2020-05-26,
11214,Bensonhurst - Bay Ridge,Brooklyn,1483,1588.93,93333.46,165,176.79,30.99,2020-05-26,
11215,Downtown - Heights - Slope,Brooklyn,600,857.97,69932.3,42,60.06,20.53,2020-05-26,
11216,Bedford Stuyvesant - Crown Heights,Brooklyn,702,1264.01,55537.72,63,113.44,25.55,2020-05-26,
11217,Downtown - Heights - Slope,Brooklyn,609,1282.74,47476.67,73,153.76,28.07,2020-05-26,
11218,Borough Park,Brooklyn,1648,2173.96,75806.47,123,162.26,30.05,2020-05-26,
11219,Borough Park,Brooklyn,2945,3171.51,92858.07,206,221.84,24.57,2020-05-26,
11220,Sunset Park,Brooklyn,1469,1492.13,98450.0,153,155.41,33.28,2020-05-26,
11221,Williamsburg - Bushwick,Brooklyn,1239,1517.04,81672.44,121,148.15,29.97,2020-05-26,
11222,Greenpoint,Brooklyn,430,1182.97,36349.16,28,77.03,20.82,2020-05-26,
11223,Coney Island - Sheepshead Bay,Brooklyn,1658,2073.61,79957.11,133,166.34,31.76,2020-05-26,
11224,Coney Island - Sheepshead Bay,Brooklyn,1105,2483.85,44487.34,194,436.08,32.97,2020-05-26,
11225,East Flatbush - Flatbush,Brooklyn,1119,1938.96,57711.49,126,218.33,32.68,2020-05-26,
11226,East Flatbush - Flatbush,Brooklyn,2165,2185.51,99061.32,251,253.38,34.3,2020-05-26,
11228,Bensonhurst - Bay Ridge,Brooklyn,633,1431.64,44215.08,75,169.63,29.08,2020-05-26,
11229,Coney Island - Sheepshead Bay,Brooklyn,1537,1810.17,84909.16,132,155.46,27.06,2020-05-26,
11230,Borough Park,Brooklyn,2257,2531.24,89165.77,202,226.54,30.1,2020-05-26,
11231,Downtown - Heights - Slope,Brooklyn,406,1097.45,36994.7,33,89.2,24.08,2020-05-26,
11232,Sunset Park,Brooklyn,508,1796.89,28271.09,39,137.95,35.68,2020-05-26,
11233,Bedford Stuyvesant - Crown Heights,Brooklyn,1215,1684.1,72145.54,124,171.87,32.85,2020-05-26,
11234,Canarsie - Flatlands,Brooklyn,2183,2290.55,95304.8,172,180.47,34.01,2020-05-26,
11235,Coney Island - Sheepshead Bay,Brooklyn,1967,2472.97,79540.14,263,330.65,32.43,2020-05-26,
11236,Canarsie - Flatlands,Brooklyn,2609,2693.94,96846.99,271,279.82,37.1,2020-05-26,
11237,Williamsburg - Bushwick,Brooklyn,915,1804.89,50695.72,102,201.2,34.08,2020-05-26,
11238,Bedford Stuyvesant - Crown Heights,Brooklyn,745,1379.23,54015.79,91,168.47,27.16,2020-05-26,
11239,Canarsie - Flatlands,Brooklyn,492,3963.47,12413.37,77,620.3,33.96,2020-05-26,
11354,Flushing - Clearview,Queens,1133,2040.77,55518.32,250,450.3,34.32,2020-05-26,
11355,Flushing - Clearview,Queens,1225,1530.98,80013.97,143,178.72,36.41,2020-05-26,
11356,Flushing - Clearview,Queens,540,2315.34,23322.74,40,171.51,33.69,2020-05-26,
11357,Flushing - Clearview,Queens,785,1963.7,39975.56,79,197.62,30.72,2020-05-26,
11358,Flushing - Clearview,Queens,549,1544.67,35541.5,33,92.85,28.71,2020-05-26,
11360,Flushing - Clearview,Queens,304,1611.61,18863.17,16,84.82,24.28,2020-05-26,
11361,Bayside - Little Neck,Queens,437,1562.28,27971.99,39,139.43,26.89,2020-05-26,
11362,Bayside - Little Neck,Queens,298,1680.01,17738.01,17,95.84,28.85,2020-05-26,
11363,Bayside - Little Neck,Queens,96,1340.96,7159.03,3,41.91,26.59,2020-05-26,
11364,Bayside - Little Neck,Queens,454,1313.56,34562.6,25,72.33,26.47,2020-05-26,
11365,Fresh Meadows,Queens,807,1831.98,44050.79,54,122.59,31.21,2020-05-26,
11366,Fresh Meadows,Queens,380,2758.14,13777.39,22,159.68,35.19,2020-05-26,
11367,Fresh Meadows,Queens,1004,2388.24,42039.24,54,128.45,32.14,2020-05-26,
11368,West Queens,Queens,4336,3885.51,111594.1,384,344.1,43.66,2020-05-26,
11369,West Queens,Queens,1528,4190.64,36462.23,155,425.1,42.06,2020-05-26,
11370,West Queens,Queens,1290,3937.89,32758.65,49,149.58,39.66,2020-05-26,
11372,West Queens,Queens,2421,3869.71,62562.88,227,362.83,41.57,2020-05-26,
11373,West Queens,Queens,3140,3380.86,92875.81,277,298.25,39.23,2020-05-26,
11374,Ridgewood - Forest Hills,Queens,1048,2492.41,42047.63,83,197.4,31.68,2020-05-26,
11375,Ridgewood - Forest Hills,Queens,1473,2087.79,70552.99,172,243.79,30.98,2020-05-26,
11377,West Queens,Queens,2127,2459.85,86468.55,169,195.45,33.79,2020-05-26,
11378,West Queens,Queens,709,2049.52,34593.45,63,182.12,30.14,2020-05-26,
